date,pogoh_trips_total,pogoh_trips_campus,pogoh_trips_city
2024-11-01,2391,1798,593
2024-11-02,1851,1216,635
2024-11-03,1778,1251,527
2024-11-04,2206,1801,405
2024-11-05,2219,1621,598
2024-11-06,2240,1780,460
2024-11-07,2457,1950,507
2024-11-08,2440,1903,537
2024-11-09,1778,1134,644
2024-11-10,719,565,154
2024-11-11,2068,1693,375
2024-11-12,2035,1668,367
2024-11-13,2007,1667,340
2024-11-14,1034,860,174
2024-11-15,1909,1589,320
2024-11-16,1679,1134,545
2024-11-17,1618,1120,498
2024-11-18,2310,1856,454
2024-11-19,1692,1412,280
2024-11-20,1848,1514,334
2024-11-21,1546,1304,242
2024-11-22,758,611,147
2024-11-23,423,245,178
2024-11-24,359,199,160
2024-11-25,525,303,222
2024-11-26,498,291,207
2024-11-27,398,204,194
2024-11-28,133,75,58
2024-11-29,196,92,104
2024-11-30,256,120,136
2024-12-01,437,331,106
2024-12-02,1275,1101,174
2024-12-03,1322,1140,182
2024-12-04,1436,1230,206
2024-12-05,974,839,135
2024-12-06,954,812,142
2024-12-07,932,714,218
2024-12-08,1139,792,347
2024-12-09,1178,1003,175
2024-12-10,1651,1369,282
2024-12-11,931,781,150
2024-12-12,813,661,152
2024-12-13,844,700,144
2024-12-14,808,601,207
2024-12-15,388,286,102
2024-12-16,759,599,160
2024-12-17,917,653,264
2024-12-18,340,204,136
2024-12-19,390,203,187
2024-12-20,236,138,98
2024-12-21,119,49,70
2024-12-22,98,47,51
2024-12-23,120,39,81
2024-12-24,106,28,78
2024-12-25,120,39,81
2024-12-26,171,58,113
2024-12-27,209,82,127
2024-12-28,405,114,291
2024-12-29,185,63,122
2024-12-30,274,123,151
2024-12-31,176,73,103
2025-01-01,102,54,48
2025-01-02,183,71,112
2025-01-03,116,49,67
2025-01-04,117,45,72
2025-01-05,152,99,53
2025-01-06,195,148,47
2025-01-07,327,237,90
2025-01-08,522,438,84
2025-01-09,667,538,129
2025-01-10,572,485,87
2025-01-11,312,245,67
2025-01-12,459,339,120
2025-01-13,894,737,157
2025-01-14,560,485,75
2025-01-15,624,525,99
2025-01-16,410,323,87
2025-01-17,722,560,162
2025-01-18,498,394,104
2025-01-19,338,273,65
2025-01-20,242,189,53
2025-01-21,433,360,73
2025-01-22,384,316,68
2025-01-23,622,521,101
2025-01-24,608,497,111
2025-01-25,494,366,128
2025-01-26,609,488,121
2025-01-27,908,762,146
2025-01-28,1006,845,161
2025-01-29,1075,903,172
2025-01-30,1079,817,262
2025-01-31,683,561,122
2025-02-01,725,511,214
2025-02-02,623,483,140
2025-02-03,1527,1187,340
2025-02-04,1156,942,214
2025-02-05,1029,850,179
2025-02-06,1002,813,189
2025-02-07,1034,809,225
2025-02-08,529,390,139
2025-02-09,621,491,130
2025-02-10,997,828,169
2025-02-11,1034,848,186
2025-02-12,975,801,174
2025-02-13,865,711,154
2025-02-14,831,645,186
2025-02-15,373,298,75
2025-02-16,284,229,55
2025-02-17,522,444,78
2025-02-18,715,603,112
2025-02-19,692,565,127
2025-02-20,692,569,123
2025-02-21,680,569,111
2025-02-22,650,462,188
2025-02-23,573,440,133
2025-02-24,1216,975,241
2025-02-25,1254,1022,232
2025-02-26,984,799,185
2025-02-27,967,757,210
2025-02-28,993,710,283
2025-03-01,334,176,158
2025-03-02,230,114,116
2025-03-03,326,155,171
2025-03-04,685,329,356
2025-03-05,377,201,176
2025-03-06,234,121,113
2025-03-07,343,165,178
2025-03-08,319,161,158
2025-03-09,776,458,318
2025-03-10,1441,1082,359
2025-03-11,1733,1175,558
2025-03-12,1792,1239,553
2025-03-13,1865,1223,642
2025-03-14,2058,1382,676
2025-03-15,1629,893,736
2025-03-16,1183,822,361
2025-03-17,1137,928,209
2025-03-18,1707,1226,481
2025-03-19,1920,1343,577
2025-03-20,1038,814,224
2025-03-21,1491,1081,410
2025-03-22,1022,776,246
2025-03-23,864,665,199
2025-03-24,1387,1091,296
2025-03-25,1552,1242,310
2025-03-26,1248,1027,221
2025-03-27,1611,1236,375
2025-03-28,1219,946,273
2025-03-29,1776,1107,669
2025-03-30,1027,747,280
2025-03-31,1561,1230,331
2025-04-01,1453,1124,329
2025-04-02,1539,1195,344
2025-04-03,1288,1032,256
2025-04-04,1453,1041,412
2025-04-05,1114,789,325
2025-04-06,905,701,204
2025-04-07,1442,1108,334
2025-04-08,1132,938,194
2025-04-09,1352,1073,279
2025-04-10,995,837,158
2025-04-11,1354,1066,288
2025-04-12,1242,913,329
2025-04-13,1469,943,526
2025-04-14,1900,1415,485
2025-04-15,1340,1115,225
2025-04-16,1479,1177,302
2025-04-17,1768,1319,449
2025-04-18,2218,1493,725
2025-04-19,2117,1325,792
2025-04-20,1559,976,583
2025-04-21,1362,1003,359
2025-04-22,1780,1235,545
2025-04-23,2291,1575,716
2025-04-24,2258,1557,701
2025-04-25,1800,1331,469
2025-04-26,1420,868,552
2025-04-27,1587,1057,530
2025-04-28,2071,1481,590
2025-04-29,1739,1288,451
2025-04-30,1997,1389,608
2025-05-01,1646,1040,606
2025-05-02,1281,753,528
2025-05-03,773,410,363
2025-05-04,1490,516,974
2025-05-05,1092,642,450
2025-05-06,854,453,401
2025-05-07,1315,667,648
2025-05-08,1279,569,710
2025-05-09,1082,550,532
2025-05-10,1221,454,767
2025-05-11,984,366,618
2025-05-12,1006,521,485
2025-05-13,820,435,385
2025-05-14,1101,596,505
2025-05-15,1487,746,741
2025-05-16,1178,550,628
2025-05-17,1196,454,742
2025-05-18,1240,450,790
2025-05-19,1177,621,556
2025-05-20,1180,671,509
2025-05-21,700,403,297
2025-05-22,550,326,224
2025-05-23,833,433,400
2025-05-24,1002,386,616
2025-05-25,1051,345,706
2025-05-26,1150,439,711
2025-05-27,785,456,329
2025-05-28,593,376,217
2025-05-29,1247,698,549
2025-05-30,617,362,255
2025-05-31,890,448,442
2025-06-01,1032,455,577
2025-06-02,1364,771,593
2025-06-03,1499,731,768
2025-06-04,1492,767,725
2025-06-05,1130,601,529
2025-06-06,879,400,479
2025-06-07,1572,556,1016
2025-06-08,647,363,284
2025-06-09,1132,650,482
2025-06-10,1337,712,625
2025-06-11,1461,747,714
2025-06-12,1405,760,645
2025-06-13,1143,620,523
2025-06-14,1126,478,648
2025-06-15,792,372,420
2025-06-16,1176,685,491
2025-06-17,1132,668,464
2025-06-18,1223,666,557
2025-06-19,1021,539,482
2025-06-20,1430,724,706
2025-06-21,1456,662,794
2025-06-22,1146,558,588
2025-06-23,1068,597,471
2025-06-24,1230,691,539
2025-06-25,1345,721,624
2025-06-26,1012,559,453
2025-06-27,1124,598,526
2025-06-28,1046,481,565
2025-06-29,1697,645,1052
2025-06-30,1109,614,495
2025-07-01,1079,597,482
2025-07-02,1589,769,820
2025-07-03,1491,711,780
2025-07-04,1712,457,1255
2025-07-05,1344,490,854
2025-07-06,1265,488,777
2025-07-07,1163,682,481
2025-07-08,1446,777,669
2025-07-09,1411,780,631
2025-07-10,1524,796,728
2025-07-11,1614,722,892
2025-07-12,1605,619,986
2025-07-13,1395,527,868
2025-07-14,1298,754,544
2025-07-15,1510,806,704
2025-07-16,1263,678,585
2025-07-17,1566,769,797
2025-07-18,1270,621,649
2025-07-19,1552,663,889
2025-07-20,1294,542,752
2025-07-21,1502,728,774
2025-07-22,1548,737,811
2025-07-23,1548,708,840
2025-07-24,1515,718,797
2025-07-25,1260,567,693
2025-07-26,1331,498,833
2025-07-27,1684,452,1232
2025-07-28,1268,611,657
2025-07-29,1270,616,654
2025-07-30,1332,655,677
2025-07-31,1201,604,597
2025-08-01,1337,473,864
2025-08-02,1358,432,926
2025-08-03,1213,412,801
2025-08-04,1269,564,705
2025-08-05,1328,606,722
2025-08-06,1353,537,816
2025-08-07,1432,669,763
2025-08-08,1420,607,813
2025-08-09,1632,507,1125
2025-08-10,1263,453,810
2025-08-11,1226,571,655
2025-08-12,1400,670,730
2025-08-13,1144,556,588
2025-08-14,1315,631,684
2025-08-15,1382,634,748
2025-08-16,1718,663,1055
2025-08-17,1403,720,683
2025-08-18,2108,1262,846
2025-08-19,2365,1515,850
2025-08-20,2452,1627,825
2025-08-21,2902,2010,892
2025-08-22,3032,2052,980
2025-08-23,3163,2005,1158
2025-08-24,3019,2044,975
2025-08-25,3018,2314,704
2025-08-26,3392,2500,892
2025-08-27,3309,2430,879
2025-08-28,2833,2181,652
2025-08-29,3526,2662,864
2025-08-30,3490,2003,1487
2025-08-31,3197,2067,1130
2025-09-01,3200,2128,1072
2025-09-02,3526,2696,830
2025-09-03,3540,2673,867
2025-09-04,2698,2222,476
2025-09-05,3609,2779,830
2025-09-06,3238,2169,1069
2025-09-07,3073,2234,839
2025-09-08,3462,2762,700
2025-09-09,3724,2876,848
2025-09-10,3632,2905,727
2025-09-11,3566,2658,908
2025-09-12,3691,2759,932
2025-09-13,3395,2087,1308
2025-09-14,3207,2030,1177
2025-09-15,3280,2530,750
2025-09-16,3592,2769,823
2025-09-17,3360,2506,854
2025-09-18,3751,2942,809
2025-09-19,3892,2934,958
2025-09-20,3681,2542,1139
2025-09-21,3097,2219,878
2025-09-22,2952,2443,509
2025-09-23,2678,2215,463
2025-09-24,2531,2141,390
2025-09-25,2748,2162,586
2025-09-26,3813,2955,858
2025-09-27,3420,2327,1093
2025-09-28,3194,2320,874
2025-09-29,3714,3054,660
2025-09-30,3816,3019,797
2025-10-01,3673,2940,733
2025-10-02,3850,3052,798
2025-10-03,3889,2981,908
2025-10-04,3577,2350,1227
2025-10-05,3086,2293,793
2025-10-06,3544,2870,674
2025-10-07,2374,1996,378
2025-10-08,3433,2694,739
2025-10-09,3089,2483,606
2025-10-10,2914,2054,860
2025-10-11,2478,1514,964
2025-10-12,2119,1456,663
2025-10-13,3106,2514,592
2025-10-14,3158,2497,661
2025-10-15,3243,2585,658
2025-10-16,3158,2443,715
2025-10-17,3330,2599,731
2025-10-18,3124,2031,1093
2025-10-19,1679,1291,388
2025-10-20,2923,2462,461
2025-10-21,2879,2350,529
2025-10-22,2622,2194,428
2025-10-23,3023,2458,565
2025-10-24,2929,2406,523
2025-10-25,2760,1769,991
2025-10-26,2405,1664,741
2025-10-27,2910,2310,600
2025-10-28,2931,2395,536
2025-10-29,2598,2228,370
2025-10-30,1972,1658,314
2025-10-31,2921,2384,537
